code_name,SMILES,C#C_C_1_Partial charge,C#C_C_1_Dipole moment,C#C_C_1_Electrophil.,C#C_C_1_Nucleophil.,C#C_C_1_Radical attack,C#C_C_1_SASA,C#C_C_1_Buried volume,C#C_C_1_H bond with H2O,C#C_C_1_s proportion,C#C_C_1_p proportion,C#C_C_1_d proportion,C#C_C_1_Coord. numbers,C#C_C_1_Polariz. alpha,C#C_C_1_FOD,C#C_C_1_Dispersion,C#C_C_1_Pyramidalization,C#C_C_1_Pyramidaliz. volume,C#C_C_2_Partial charge,C#C_C_2_Dipole moment,C#C_C_2_Electrophil.,C#C_C_2_Nucleophil.,C#C_C_2_Radical attack,C#C_C_2_SASA,C#C_C_2_Buried volume,C#C_C_2_H bond with H2O,C#C_C_2_s proportion,C#C_C_2_p proportion,C#C_C_2_d proportion,C#C_C_2_Coord. numbers,C#C_C_2_Polariz. alpha,C#C_C_2_FOD,C#C_C_2_Dispersion,C#C_C_2_Pyramidalization,C#C_C_2_Pyramidaliz. volume,C#C_max_Partial charge,C#C_max_Dipole moment,C#C_max_Electrophil.,C#C_max_Nucleophil.,C#C_max_Radical attack,C#C_max_SASA,C#C_max_Buried volume,C#C_max_H bond with H2O,C#C_max_s proportion,C#C_max_p proportion,C#C_max_d proportion,C#C_max_Coord. numbers,C#C_max_Polariz. alpha,C#C_max_FOD,C#C_max_Dispersion,C#C_max_Pyramidalization,C#C_max_Pyramidaliz. volume,C#C_min_Partial charge,C#C_min_Dipole moment,C#C_min_Electrophil.,C#C_min_Nucleophil.,C#C_min_Radical attack,C#C_min_SASA,C#C_min_Buried volume,C#C_min_H bond with H2O,C#C_min_s proportion,C#C_min_p proportion,C#C_min_d proportion,C#C_min_Coord. numbers,C#C_min_Polariz. alpha,C#C_min_FOD,C#C_min_Dispersion,C#C_min_Pyramidalization,C#C_min_Pyramidaliz. volume,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
alkyne_14,C#Cc1cccc(CC)c1,-0.0204,0.3348,0.0698,0.0639,0.0665,52.6212,0.2496,-0.003,1.062,3.213,0.0,1.909,9.407,0.0104,15.8914,0.0,0.0925,-0.0095,0.758,0.0379,0.0406,0.0392,13.4903,0.4454,-0.001,1.109,2.944,0.0,1.981,9.087,0.0045,22.1351,2.0,0.4018,-0.0095,0.758,0.0698,0.0639,0.0665,52.6212,0.4454,-0.001,1.109,3.213,0.0,1.981,9.407,0.0104,22.1351,2.0,0.4018,-0.0204,0.3348,0.0379,0.0406,0.0392,13.4903,0.2496,-0.003,1.062,2.944,0.0,1.909,9.087,0.0045,15.8914,0.0,0.0925,10.0774,-9.2622,0.8152,8.3605,-1.2204,0.6253000000000001,0,335.1231,-1.6286,-0.5402,-8.461,108.9921,0.0637,9.5809,0.1044,3.5701,0.6652,1.3462,13.3537,2.8311,92.0673,2.230299999999999
alkyne_15,C#CCC#Cc1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9684,-9.1295,0.8389000000000001,7.9565,-1.1721,0.2228,0,362.3641,-2.7217,-0.766,-8.38,115.2999,0.0717,9.1286,0.1095,3.3922,0.6303000000000001,1.4176,12.7749,3.3785,90.6674,2.0614
alkyne_16,C#CCc1ccccc1C,-0.0431,0.3263,0.027,0.0381,0.0323,46.8611,0.2764,-0.003,1.07,3.132,0.0,1.909,9.47,0.0031,16.9008,0.0001,0.6395000000000001,0.0074,0.9863,0.0138,0.027,0.0207,11.7903,0.4745,-0.001,1.117,2.91,0.0,1.971,9.08,0.0025,22.3562,0.0162,1.2254,0.0074,0.9863,0.027,0.0381,0.0323,46.8611,0.4745,-0.001,1.117,3.132,0.0,1.971,9.47,0.0031,22.3562,0.0162,1.2254,-0.0431,0.3263,0.0138,0.027,0.0207,11.7903,0.2764,-0.003,1.07,2.91,0.0,1.909,9.08,0.0025,16.9008,0.0001,0.6395000000000001,11.1737,-9.5667,1.607,8.3477,-1.7936,0.4953,0,322.8231,-1.8994,-0.5986,-8.225,108.8469,0.0419,10.1413,0.0986,3.2771,0.5295,1.5009,13.4151,2.4835000000000003,107.3356,2.17072
alkyne_17,C#CCN,-0.0481,0.3654,0.0298,0.0173,0.0235,52.7612,0.2379,-0.003,1.035,3.367,0.0,1.909,9.424,0.0018,14.6852,0.0,0.7233,0.0091,0.926,0.0326,0.011,0.0217,17.0504,0.3858,-0.001,1.055,3.163,0.0,1.967,9.098,0.0017,18.6378,0.0157,1.5013,0.0091,0.926,0.0326,0.0173,0.0235,52.7612,0.3858,-0.001,1.055,3.367,0.0,1.967,9.424,0.0018,18.6378,0.0157,1.5013,-0.0481,0.3654,0.0298,0.011,0.0217,17.0504,0.2379,-0.003,1.035,3.163,0.0,1.909,9.098,0.0017,14.6852,0.0,0.7233,12.5957,-9.541,3.0547,8.8863,-4.8675,1.8010000000000002,0,211.2913,-3.6666,-1.7696,-7.1115,43.8402,0.0065,13.7538,0.0727,2.0094,0.1468,2.3171,15.8711,-2.8092,153.0408,-0.421699999999999
alkyne_18,C#CCCC,-0.0529,0.3365,0.0293,0.0165,0.0229,48.3011,0.2598,-0.003,1.04,3.324,0.0,1.909,9.47,0.0011,15.6829,0.0,0.2403,0.0075,0.9602,0.0341,0.0124,0.0232,13.5703,0.4354,-0.001,1.059,3.121,0.0,1.967,9.093,0.001,20.1177,0.0099,1.0283,0.0075,0.9602,0.0341,0.0165,0.0232,48.3011,0.4354,-0.001,1.059,3.324,0.0,1.967,9.47,0.0011,20.1177,0.0099,1.0283,-0.0529,0.3365,0.0293,0.0124,0.0229,13.5703,0.2598,-0.003,1.04,3.121,0.0,1.909,9.093,0.001,15.6829,0.0,0.2403,13.5464,-10.0734,3.473,9.2586,-5.2129,0.5994,0,244.6217,-1.0584,-0.4904,-7.3632,58.0157,0.0025,14.4715,0.0691,2.0228,0.1414,2.2741,15.0901,-3.3645,160.224,1.4197
alkyne_19,C#CCC,-0.0563,0.3492,0.0317,0.0209,0.0262,52.7412,0.2426,-0.003,1.039,3.343,0.0,1.909,9.464,0.0011,14.7777,0.0,0.1655,0.0073,0.9462,0.0368,0.015,0.0259,15.3904,0.3999,-0.001,1.06,3.123,0.0,1.967,9.103,0.001,19.1055,0.0056,0.5772,0.0073,0.9462,0.0368,0.0209,0.0262,52.7412,0.3999,-0.001,1.06,3.343,0.0,1.967,9.464,0.0011,19.1055,0.0056,0.5772,-0.0563,0.3492,0.0317,0.015,0.0259,15.3904,0.2426,-0.003,1.039,3.123,0.0,1.909,9.103,0.001,14.7777,0.0,0.1655,13.6757,-10.0471,3.6286,9.4838,-5.2567,0.623,0,219.1418,-1.0589,-0.4906,-7.3765,46.3473,0.0024,14.7405,0.0678,2.1136,0.1515,2.1919,15.9332,-3.5654,160.6069,1.029599999999999
alkyne_20,C#CC(C)C,-0.0512,0.3343,0.0305,0.0185,0.0245,52.3612,0.2601,-0.003,1.042,3.309,0.0,1.909,9.458,0.0011,15.5287,0.0,0.3175,0.004,0.9219,0.0357,0.013,0.0243,7.9502,0.46,-0.001,1.068,3.099,0.0,1.978,9.106,0.001,21.2605,0.0002,0.017,0.004,0.9219,0.0357,0.0185,0.0245,52.3612,0.46,-0.001,1.068,3.309,0.0,1.978,9.458,0.0011,21.2605,0.0002,0.3175,-0.0512,0.3343,0.0305,0.013,0.0243,7.9502,0.2601,-0.003,1.042,3.099,0.0,1.909,9.106,0.001,15.5287,0.0,0.017,13.6919,-10.1188,3.5731,9.3255,-5.1655,0.5871000000000001,0,246.0318,-1.0009,-0.4865,-7.3836,58.0168,0.0025,14.491,0.069,2.08,0.1493,2.2279,15.3335,-3.2651,160.1892,1.275599999999999
alkyne_21,C#CCC(C)C,-0.0521,0.3326,0.027,0.0147,0.0208,48.2811,0.2604,-0.003,1.043,3.299,0.0,1.909,9.474,0.0012,15.9549,0.0,0.2519,0.0071,0.9747,0.0312,0.0107,0.021,13.5303,0.4378,-0.001,1.065,3.103,0.0,1.966,9.097,0.001,20.4792,0.0102,1.0863,0.0071,0.9747,0.0312,0.0147,0.021,48.2811,0.4378,-0.001,1.065,3.299,0.0,1.966,9.474,0.0012,20.4792,0.0102,1.0863,-0.0521,0.3326,0.027,0.0107,0.0208,13.5303,0.2604,-0.003,1.043,3.103,0.0,1.909,9.097,0.001,15.9549,0.0,0.2519,13.6429,-10.0672,3.5757,9.032,-5.1417,0.6393,0,269.0618,-1.1231,-0.5181,-7.3497,69.6232,0.0026,14.1737,0.0706,1.9451,0.1335,2.3525,14.512,-2.947,159.7079,1.6657000000000002
alkyne_22,C#CCCCN,-0.0566,0.3327,0.0157,0.007,0.0113,45.0811,0.2772,-0.003,1.04,3.324,0.0,1.909,9.474,0.0015,16.3833,0.0,0.7358,0.0059,0.9667,0.0182,0.0047,0.0115,12.1303,0.461,-0.001,1.057,3.11,0.0,1.966,9.066,0.0014,20.439,0.0123,2.2746,0.0059,0.9667,0.0182,0.007,0.0115,45.0811,0.461,-0.001,1.057,3.324,0.0,1.966,9.474,0.0015,20.439,0.0123,2.2746,-0.0566,0.3327,0.0157,0.0047,0.0113,12.1303,0.2772,-0.003,1.04,3.11,0.0,1.909,9.066,0.0014,16.3833,0.0,0.7358,12.8255,-9.3781,3.4474,8.2568,-5.3702,1.9047,0,261.2612,-3.1725,-1.5342,-6.7485,67.188,0.0051,13.627,0.0734,1.4433,0.0764,2.8965,14.1191,-2.8323,157.6631,0.3585
alkyne_23,C#CC(C)N,-0.0425,0.3477,0.0281,0.0151,0.0215,52.1512,0.2562,-0.003,1.04,3.318,0.0,1.909,9.422,0.0018,15.3132,0.0001,0.6072000000000001,0.0063,0.9065,0.0312,0.0093,0.0203,9.8602,0.4475,-0.001,1.065,3.126,0.0,1.978,9.1,0.0016,20.5467,0.0013,0.0671,0.0063,0.9065,0.0312,0.0151,0.0215,52.1512,0.4475,-0.001,1.065,3.318,0.0,1.978,9.422,0.0018,20.5467,0.0013,0.6072000000000001,-0.0425,0.3477,0.0281,0.0093,0.0203,9.8602,0.2562,-0.003,1.04,3.126,0.0,1.909,9.1,0.0016,15.3132,0.0001,0.0671,12.8245,-9.6359,3.1886,8.7954,-4.8728,1.9053,0,239.1113,-3.4256,-1.6122,-7.0839,55.4303,0.0064,13.6682,0.0732,1.9613,0.1407,2.3626,15.3784,-2.6781,154.9731,-0.0332
alkyne_24,C#CC(C)CC,-0.05,0.3299,0.0272,0.0146,0.0209,51.8112,0.261,-0.003,1.044,3.29,0.0,1.909,9.462,0.0012,15.7676,0.0,0.1138,0.0025,0.938,0.0316,0.0099,0.0207,7.9602,0.4625,-0.001,1.072,3.09,0.0,1.98,9.111,0.001,21.6117,0.0002,0.014,0.0025,0.938,0.0316,0.0146,0.0209,51.8112,0.4625,-0.001,1.072,3.29,0.0,1.98,9.462,0.0012,21.6117,0.0002,0.1138,-0.05,0.3299,0.0272,0.0099,0.0207,7.9602,0.261,-0.003,1.044,3.09,0.0,1.909,9.111,0.001,15.7676,0.0,0.014,13.5873,-10.1094,3.4779,9.0237,-5.109,0.6513,0,272.0018,-1.0534,-0.4971,-7.3651,69.6782,0.0027,14.1327,0.0708,1.9573,0.1355,2.3441,14.4674,-2.863,159.8665,1.6657000000000002
alkyne_25,C#CCC#CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6594,-9.8211,2.8383000000000003,8.4244,-3.728,0.5112,0,302.7827,-2.1404,-0.7663000000000001,-7.3706,75.9066,0.0061,12.1524,0.0823,2.3482,0.2269,2.0944,13.6104,-0.2188,145.0592,1.4231
alkyne_26,C#CCC#CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7912,-9.7586,3.0326,8.6078,-3.8361,0.6341,0,270.5529,-2.2488,-0.8122,-7.3618,64.1906,0.0058,12.4439,0.0804,2.3858,0.2287,2.0592,14.3106,-0.4953,146.5562,1.033
alkyne_27,C#CC(CC)CC,-0.0448,0.3063,0.0241,0.0106,0.0174,41.771,0.3023,-0.002,1.044,3.276,0.0,1.909,9.468,0.0012,17.366,0.0001,0.626,0.0033,0.9386,0.0282,0.0065,0.0174,7.1502,0.5364,-0.001,1.067,3.087,0.0,1.973,9.076,0.0011,23.0041,0.0142,1.3592,0.0033,0.9386,0.0282,0.0106,0.0174,41.771,0.5364,-0.001,1.067,3.276,0.0,1.973,9.468,0.0012,23.0041,0.0142,1.3592,-0.0448,0.3063,0.0241,0.0065,0.0174,7.1502,0.3023,-0.002,1.044,3.087,0.0,1.909,9.076,0.0011,17.366,0.0001,0.626,13.3784,-10.1611,3.2173,8.7147,-5.0682,0.5402,0,286.5216,-0.9703,-0.4713,-7.338,81.3902,0.003,13.7829,0.0726,1.8233,0.1206,2.4823,13.8399,-2.8533,158.8045,2.0558
alkyne_28,C#CC,-0.0645,0.363,0.0361,0.0304,0.0333,53.0912,0.2263,-0.003,1.039,3.38,0.0,1.909,9.474,0.001,14.1283,2.0,0.093,0.0128,0.9826,0.0439,0.0254,0.0346,23.2105,0.3401,-0.002,1.057,3.142,0.0,1.96,9.093,0.0009,17.2473,0.0,0.0311,0.0128,0.9826,0.0439,0.0304,0.0346,53.0912,0.3401,-0.002,1.057,3.38,0.0,1.96,9.474,0.001,17.2473,2.0,0.093,-0.0645,0.363,0.0361,0.0254,0.0333,23.2105,0.2263,-0.003,1.039,3.142,0.0,1.909,9.093,0.0009,14.1283,0.0,0.0311,14.2215,-9.9702,4.2513,10.0398,-5.494,0.6726000000000001,0,186.5621,-1.2346,-0.5514,-7.3404,34.6323,0.0022,15.5338,0.0644,2.2729,0.1663,2.0493,17.7702,-4.3192,162.472,0.6395000000000001
alkyne_29,C#CCCCBr,-0.0482,0.3286,0.0214,0.0468,0.0344,41.151,0.3051,-0.002,1.053,3.213,0.0,1.909,9.411,0.0021,17.5789,1.9999,1.315,-0.0022,0.9707,0.0154,0.0399,0.0274,13.1003,0.4803,-0.001,1.078,3.028,0.0,1.965,9.092,0.0017,21.8713,0.0026,1.1774,-0.0022,0.9707,0.0214,0.0468,0.0344,41.151,0.4803,-0.001,1.078,3.213,0.0,1.965,9.411,0.0021,21.8713,1.9999,1.315,-0.0482,0.3286,0.0154,0.0399,0.0274,13.1003,0.3051,-0.002,1.053,3.028,0.0,1.909,9.092,0.0017,17.5789,0.0026,1.1774,11.4531,-10.2524,1.2007,8.8639,-2.2171,1.9753,0,269.7325,-3.3934,-0.8606,-8.2783,76.8058,0.0202,11.081,0.0902,3.3234,0.4984,1.4921,14.5595,1.7089,121.9136,1.7947000000000002
alkyne_30,C#CCBr,-0.0271,0.3486,0.0881,0.0912,0.0896,52.1612,0.2479,-0.003,1.052,3.295,0.0,1.909,9.352,0.0042,15.3627,0.0,0.6678000000000001,0.0001,0.9337,0.0585,0.0694,0.0639,17.2104,0.4105,-0.001,1.101,2.987,0.0,2.048,9.056,0.0024,20.1368,0.02,1.2234,0.0001,0.9337,0.0881,0.0912,0.0896,52.1612,0.4105,-0.001,1.101,3.295,0.0,2.048,9.352,0.0042,20.1368,0.02,1.2234,-0.0271,0.3486,0.0585,0.0694,0.0639,17.2104,0.2479,-0.003,1.052,2.987,0.0,1.909,9.056,0.0024,15.3627,0.0,0.6678000000000001,11.2125,-10.5659,0.6466000000000001,9.7573,-1.4123,1.2639,0,223.6931,-2.9065000000000003,-1.0347,-8.8484,53.5711,0.0321,11.1696,0.0895,4.1725,0.7793,1.1513,16.5769,1.9649,109.1133,1.0145
alkyne_31,C#CCOCCl,-0.0211,0.3426,0.0373,0.0394,0.0381,42.691,0.295,-0.002,1.052,3.179,0.0,1.909,9.343,0.0014,16.502,0.0001,0.5303,-0.002,0.9429,0.0377,0.0329,0.0355,15.1004,0.4662,-0.001,1.076,3.06,0.0,1.96,9.1,0.0012,20.5248,0.0107,0.8744000000000001,-0.002,0.9429,0.0377,0.0394,0.0381,42.691,0.4662,-0.001,1.076,3.179,0.0,1.96,9.343,0.0014,20.5248,0.0107,0.8744000000000001,-0.0211,0.3426,0.0373,0.0329,0.0355,15.1004,0.295,-0.002,1.052,3.06,0.0,1.909,9.1,0.0012,16.502,0.0001,0.5303,12.2659,-10.4696,1.7963,9.3589,-2.8232,1.8008000000000002,0,253.2806,-4.3303,-1.1701,-8.037,63.793,0.0054,12.1821,0.0821,3.2679,0.4383,1.5282,15.1325,1.2798,148.8574,0.8325
alkyne_32,C#CCCOCCBr,-0.0447,0.3368,0.0317,0.0438,0.0375,51.0012,0.2554,-0.003,1.054,3.202,0.0,1.909,9.425,0.002,15.7185,2.0,0.9696,0.0095,0.9908,0.0301,0.0327,0.0317,13.5703,0.4342,-0.001,1.073,3.041,0.0,1.967,9.081,0.0016,21.0193,0.0055,0.734,0.0095,0.9908,0.0317,0.0438,0.0375,51.0012,0.4342,-0.001,1.073,3.202,0.0,1.967,9.425,0.002,21.0193,2.0,0.9696,-0.0447,0.3368,0.0301,0.0327,0.0317,13.5703,0.2554,-0.003,1.054,3.041,0.0,1.909,9.081,0.0016,15.7185,0.0055,0.734,11.248,-10.032,1.216,8.5832,-1.9227,3.0275,0,324.9426,-4.371,-1.0493,-8.4335,93.6045,0.021,10.5059,0.0952,3.3302,0.5278,1.4804,13.5655,2.6703,122.1371,1.4212
